阿,1,,,
啊,1,,,
爱,1,,,
安,1,,,
八,1,,,
巴,1,,,
把,1,,,
爸,1,,,
吧,1,,,
白,1,,,
百,1,,,
班,1,,,
办,1,,,
半,1,,,
帮,1,,,
包,1,,,
饱,1,,,
宝,1,,,
保,1,,,
报,1,,,
抱,1,,,
杯,1,,,
北,1,,,
备,1,,,
被,1,,,
本,1,,,
鼻,1,,,
比,1,,,
笔,1,,,
币,1,,,
必,1,,,
边,1,,,
变,1,,,
表,1,,,
别,1,,,
病,1,,,
不,1,,,
布,1,,,
步,1,,,
部,1,,,
擦,1,,,
才,1,,,
财,1,,,
菜,1,,,
参,1,,,
餐,1,,,
草,1,,,
层,1,,,
曾,1,,,
叉,1,,,
茶,1,,,
查,1,,,
察,1,,,
差,1,,,
产,1,,,
长,1,,,
常,1,,,
厂,1,,,
场,1,,,
唱,1,,,
朝,1,,,
吵,1,,,
车,1,,,
晨,1,,,
成,1,,,
城,1,,,
吃,1,,,
持,1,,,
重,1,,,
丑,1,chou,3,!
出,1,,,
初,1,,,
除,1,,,
处,1,,,
穿,1,,,
传,1,chuan,2,
船,1,,,
创,1,,,
窗,1,,,
床,1,,,
吹,1,,,
春,1,,,
词,1,,,
次,1,,,
从,1,,,
粗,1,,,
村,1,,,
存,1,,,
错,1,,,
打,1,,,
答,1,,,
大,1,,,
代,1,,,
带,1,,,
待,1,,,
单,1,,,
但,1,,,
蛋,1,,,
当,1,,,
刀,1,,,
导,1,,,
倒,1,,,
到,1,,,
道,1,,,
得,1,de,2,
得,1,de,5,
地,1,de,5,
的,1,de,5,
灯,1,,,
等,1,,,
低,1,,,
地,1,di,4,
的,1,di,4,
弟,1,,,
第,1,,,
典,1,,,
点,1,,,
电,1,,,
店,1,,,
调,1,diao,4,
订,1,,,
定,1,,,
东,1,,,
冬,1,,,
懂,1,,,
动,1,,,
都,1,dou,1,
都,1,du,1,
毒,1,,,
读,1,,,
度,1,,,
短,1,,,
对,1,,,
顿,1,,,
多,1,,,
阿,1,e,1,
饿,1,,,
儿,1,,,
耳,1,,,
二,1,,,
发,1,fa,1,
法,1,,,
发,1,fa,4,
烦,1,,,
反,1,,,
饭,1,,,
方,1,,,
房,1,,,
访,1,,,
放,1,,,
飞,1,,,
非,1,,,
肥,1,,,
"费 ",1,,,
"分 ",1,fen,1,
"分 ",1,fen,4,
丰,1,,,
风,1,,,
夫,1,,,
服,1,,,
福,1,,,
府,1,,,
父,1,,,
付,1,,,
负,1,,,
复,1,,,
富,1,,,
该,1,,,
改,1,,,
干,1,gan,1,
赶,1,,,
敢,1,,,
感,1,,,
干,1,gan,4,
刚,1,,,
高,1,,,
搞,1,,,
告,1,,,
哥,1,,,
歌,1,,,
格,1,,,
个,1,,,
各,1,,,
给,1,gei,3,
根,1,,,
跟,1,,,
更,1,geng,1,
更,1,geng,4,
工,1,,,
公,1,,,
功,1,,,
宫,1,,,
共,1,,,
狗,1,,,
够,1,,,
姑,1,,,
古,1,,,
谷,1,,,
股,1,,,
故,1,,,
顾,1,,,
刮,1,,,
挂,1,,,
"关 ",1,,,
"观 ",1,guan,1,
馆,1,,,
管,1,,,
"观 ",1,guan,4,
广,1,,,
贵,1,,,
国,1,,,
果,1,,,
过,1,,,
还,1,hai,2,
孩,1,,,
海,1,,,
喊,1,,,
汉,1,,,
行,1,hang,2,
航,1,,,
"好 ",1,hao,3,
号,1,,,
"好 ",1,hao,4,
喝,1,,,
合,1,,,
何,1,,,
和,1,,,
河,1,,,
黑,1,,,
很,1,,,
红,1,,,
后,1,,,
候,1,,,
乎,1,,,
胡,1,,,
湖,1,,,
互,1,,,
户,1,,,
护,1,,,
花,1,,,
华,1,,,
划,1,,,
化,1,,,
画,1,,,
话,1,,,
怀,1,,,
坏,1,,,
欢,1,,,
还,1,huan,2,
环,1,,,
换,1,,,
皇,1,,,
黄,1,,,
回,1,,,
会,1,,,
婚,1,,,
活,1,,,
火,1,,,
机,1,,,
鸡,1,,,
基,1,,,
及,1,,,
吉,1,,,
级,1,,,
极,1,,,
急,1,,,
集,1,,,
几,1,,,
己,1,,,
挤,1,,,
给,1,ji,3,
计,1,,,
记,1,,,
技,1,,,
际,1,,,
济,1,,,
系,1,ji,4,
寄,1,,,
加,1,,,
家,1,,,
假,1,jia,3,
假,1,jia,4,
驾,1,jia,4,
架,1,,,
间,1,,,
检,1,,,
简,1,,,
见,1,,,
件,1,,,
建,1,,,
健,1,,,
江,1,,,
"将 ",1,jiang,1,
讲,1,,,
将,1,jiang,4,
交,1,,,
教,1,jiao,1,
角,1,,,
饺,1,,,
脚,1,,,
叫,1,,,
觉,1,jiao,4,
教,1,jiao,4,
校,1,jiao,4,
较,1,,,
接,1,,,
街,1,,,
节,1,,,
结,1,,,
姐,1,,,
解,1,,,
介,1,,,
界,1,,,
借,1,,,
斤,1,,,
今,1,,,
金,1,,,
紧,1,,,
进,1,,,
近,1,,,
京,1,,,
经,1,,,
惊,1,,,
精,1,,,
警,1,"jing ",3,
"净 ",1,,,
静,1,,,
九,1,,,
久,1,,,
酒,1,,,
旧,1,,,
就,1,,,
居,1,,,
局,1,,,
举,1,,,
巨,1,,,
具,1,,,
剧,1,,,
决,1,,,
觉,1,jue,2,
卡,1,ka,3,
开,1,,,
看,1,,,
康,1,,,
考,1,,,
科,1,,,
可,1,,,
渴,1,,,
克,1,,,
刻,1,,,
客,1,,,
课,1,,,
空,1,,,
孔,1,,,
口,1,,,
哭,1,,,
苦,1,,,
裤,1,,,
块,1,,,
快,1,,,
筷,1,,,
困,1,,,
拉,1,,,
落,1,la,4,
来,1,,,
劳,1,,,
老,1,,,
乐,1,le,4,
"了 ",1,le,5,
累,1,lei,3,
累,1,lei,4,
冷,1,,,
离,1,,,
礼,1,,,
里,1,,,
理,1,,,
力,1,,,
历,1,,,
立,1,,,
利,1,,,
例,1,,,
连,1,,,
联,1,,,
脸,1,,,
练,1,,,
凉,1,liang,2,
粮,1,liang,2,
两,1,,,
亮,1,,,
凉,1,liang,4,
了,1,liao,3,
料,1,,,
林,1,,,
令,1,,,
零,1,,,
领,1,,,
另,1,,,
留,1,,,
陆,1,liu,4,
六,1,,,
龙,1,,,
楼,1,,,
陆,1,lu,4,
"录 ",1,,,
路,1,,,
旅,1,,,
律,1,,,
绿,1,,,
乱,1,,,
论,1,,,
落,1,luo,4,
妈,1,,,
麻,1,,,
马,1,,,
"吗 ",1,,,
买,1,,,
卖,1,,,
满,1,,,
慢,1,,,
忙,1,,,
猫,1,,,
毛,1,,,
冒,1,,,
贸,1,,,
帽,1,,,
么,1,me,5,
没,1,mei,2,
每,1,,,
美,1,,,
妹,1,,,
门,1,,,
们,1,,,
米,1,,,
面,1,,,
民,1,,,
名,1,,,
明,1,,,
没,1,mo,4,
母,1,,,
木,1,,,
目,1,,,
拿,1,,,
哪,1,,,
那,1,,,
奶,1,,,
