中,1,1997,2008,1,0,0,1,
王,1,1997,2008,1,0,0,2,
国,1,1997,2008,1,0,0,3,
大,1,1997,2008,1,0,0,4,
日,1,1997,2008,1,0,0,5,
本,1,1997,2008,1,0,0,6,
小,1,1997,2008,1,0,0,7,
马,1,1997,2008,1,0,0,8,
吗,1,1997,2008,1,0,0,9,
很,1,1997,2008,1,0,0,10,
不,1,1997,2008,1,0,0,11,
你,1,1997,2008,2,"0,5","0,5",1,
是,1,1997,2008,2,"0,5","0,5",2,
哪,1,1997,2008,2,"0,5","0,5",3,
人,1,1997,2008,2,"0,5","0,5",4,
李,1,1997,2008,2,"0,5","0,5",5,
田,1,1997,2008,2,"0,5","0,5",6,
我,1,1997,2008,2,"0,5","0,5",7,
法,1,1997,2008,2,"0,5","0,5",8,
也,1,1997,2008,2,"0,5","0,5",9,
他,1,1997,2008,2,"0,5","0,5",10,
们,1,1997,2008,2,"0,5","0,5",11,
美,1,1997,2008,2,"0,5","0,5",12,
一,1,1997,2008,2,"0,5","0,5",101,
二,1,1997,2008,2,"0,5","0,5",102,
两,1,1997,2008,2,"0,5","0,5",103,
三,1,1997,2008,2,"0,5","0,5",104,
四,1,1997,2008,2,"0,5","0,5",105,
五,1,1997,2008,2,"0,5","0,5",106,
六,1,1997,2008,2,"0,5","0,5",107,
七,1,1997,2008,2,"0,5","0,5",108,
八,1,1997,2008,2,"0,5","0,5",109,
九,1,1997,2008,2,"0,5","0,5",110,
十,1,1997,2008,2,"0,5","0,5",111,
百,1,1997,2008,2,"0,5","0,5",112,
千,1,1997,2008,2,"0,5","0,5",113,
万,1,1997,2008,2,"0,5","0,5",114,
月,1,1997,2008,2,"0,5","0,5",115,
年,1,1997,2008,2,"0,5","0,5",116,
零,1,1997,2008,2,"0,5","0,5",117,
第,1,1997,2008,2,"0,5","0,5",118,
星,1,1997,2008,2,"0,5","0,5",119,
期,1,1997,2008,2,"0,5","0,5",120,
您,1,1997,2008,3,1,"1,1",1,
贵,1,1997,2008,3,1,"1,1",2,
姓,1,1997,2008,3,1,"1,1",3,
立,1,1997,2008,3,1,"1,1",4,
阳,1,1997,2008,3,1,"1,1",5,
月,1,1997,2008,3,1,"1,1",6,
文,1,1997,2008,3,1,"1,1",7,
叫,1,1997,2008,3,1,"1,1",8,
什,1,1997,2008,3,1,"1,1",9,
么,1,1997,2008,3,1,"1,1",10,
名,1,1997,2008,3,1,"1,1",11,
字,1,1997,2008,3,1,"1,1",12,
去,1,1997,2008,3,1,"1,1",13,
儿,1,1997,2008,3,1,"1,1",14,
学,1,1997,2008,4,2,"1,2",1,
这,1,1997,2008,4,2,"1,2",2,
谁,1,1997,2008,4,2,"1,2",3,
的,1,1997,2008,4,2,"1,2",4,
书,1,1997,2008,4,2,"1,2",5,
那,1,1997,2008,4,2,"1,2",6,
老,1,1997,2008,4,2,"1,2",7,
师,1,1997,2008,4,2,"1,2",8,
冬,1,1997,2008,4,2,"1,2",9,
哦,1,1997,2008,4,2,"1,2",10,
生,1,1997,2008,4,2,"1,2",11,
汉,1,1997,2008,5,"2,5","1,25",1,
语,1,1997,2008,5,"2,5","1,25",2,
说,1,1997,2008,5,"2,5","1,25",3,
得,1,1997,2008,5,"2,5","1,25",4,
怎,1,1997,2008,5,"2,5","1,25",5,
样,1,1997,2008,5,"2,5","1,25",6,
外,1,1997,2008,5,"2,5","1,25",7,
都,1,1997,2008,5,"2,5","1,25",8,
好,1,1997,2008,5,"2,5","1,25",9,
呢,1,1997,2008,5,"2,5","1,25",10,
写,1,1997,2008,5,"2,5","1,25",11,
过,1,1997,2008,6,3,"1,3",1,
看,1,1997,2008,6,3,"1,3",2,
地,1,1997,2008,6,3,"1,3",3,
